account,v5 balance,v6 balance,scale factor used
0349936ef89fc745e7b39e3ea3a29250,0.102608,3.622067,35.3000448308124
0358b42820e0d9c8a49684199f82ff4c,5267.234879,185933.631913,35.3000456946207
036191be358f1bd84ddecb2d60a913c0,0.442691,15.627012,35.3000445005659
0363cdbd40ace39dbdf01b4cc7d71b3b,5780.410133,204048.741829,35.3000456946988
0366dea571b0bb9c22803f83e6d209f0,825.834603,29151.999222,35.3000456945009
0369fe43ee9c7dcb20f68b83e88070e2,43.116922,1522.029316,35.3000456758022
036c823531af0dcfca560f02293b8349,115.699994,4084.215075,35.3000456940387
036f681ea0918db9ca82648c8ac7305e,1,35.300045,35.300045
0370af177f19fe94334dc4d7b77de5fb,0.990952,34.98065,35.3000448053992
03727eccc335a7efb6c82340a75bb849,1324.033469,46738.441957,35.3000456946908
0374ffba231c4ad2c83a468a258fe720,355.960704,12565.429116,35.3000456926841
0376e62ccd67829019b9ca9c82f1309d,1,35.300045,35.300045
0377f7390db08e396223368087973de9,0.025803,0.910847,35.3000426307019
0379c20e203f7a68d1b1c7365f16e731,1,35.300045,35.300045
0384b8dc53cee79400f2dbd0763f0d3d,4464.450005,157595.289178,35.3000456946544
0385eecb65210692beaec2ff6eff2c1c,1.987416,70.155875,35.300045385566
038b34ba4d36d5790de573b1bf95a06b,455.842665,16091.266904,35.3000456944942
038cae5d1772a68793c78d2c823652d9,6265.553706,221174.332124,35.3000456946367
038d37b28d3f874d0a0c6ebbd0bb0d16,48021.010911,1695143.879464,35.3000456947003
038d762d8a819710a235dcfd4d51bc8d,0.79351,28.010939,35.3000453680483
0391da564b566ae27cc20bba936fad11,5.524277,195.00723,35.3000455987272
0394108e35b41810a693b0603f1f1188,4894.155076,172763.897819,35.3000456945472
039950dc7672e69a78e76fd7cbb16235,0.650139,22.949936,35.3000450672856
039b64946544ae6efc1a0725a472f233,1,35.300045,35.300045
03a2a1f289fbafcbae7dd632bc90f188,2828.433432,99843.829394,35.3000456946939
03a3fcfaf8224bd598d96bbaf0c6d99f,195000.994623,6883544.020707,35.3000456947162
03a994aea9de678a271e5a860f44beeb,5193.867138,183343.747303,35.3000456945844
03b56c407074bd281360f784a9514e7f,4322.348118,152579.086073,35.3000456945148
03c146473bd1aa0e3b5dc3cec02e1e34,4.506261,159.071219,35.3000456476001
03c26d648874bbc3021e51e29bd1f57e,0.173447,6.122687,35.3000455470547
03c3d0b90cc9ba6bf480680604f3ab05,0.951441,33.58591,35.3000448792936
03c895194f8a9afba3089a0e4bc80aa1,0.175583,6.198087,35.3000404367165
03ca42ba2a9d17cfa4277177232062e1,17.134749,604.857422,35.3000456557607
03ce125aa323e54d84c98f9267e19ba1,15.744025,555.764801,35.3000456363605
03d4e94cf323aae63caecded33145e39,555.578376,19611.942059,35.3000456932831
03d72a1baeb45b53fc75c151a2c58788,400000.995757,14120053.428154,35.300045694716
03e1691624ec08622dd5ca680db5d4af,640.481471,22609.025192,35.3000456932813
03e2067bfe4911bb9e247f18b8ba19ec,0.892014,31.488134,35.3000446181338
03e64a645fbbb292320ca7d0e150f6c0,258.970682,9141.676908,35.3000456939755
03e6bfbc2687742c4a3291b1ef84305d,1311.506645,46296.244497,35.300045694393
03e77cda55b15e3db1171cdbced2ca5f,1,35.300045,35.300045
03eae25793029f159b04ad9d1c367e0e,0.779237,27.507101,35.300044787401
03ecc5aa6a886ca1eb0ff091b714e645,3068.499967,108318.189049,35.300045694607
03edd7a6a6b7deb1685012c46bc47c31,1.567479,55.33208,35.3000454870528
03f71968748a26561c7a4f7a60a32d31,9.750962,344.209404,35.3000456775444
03fa23da1b8e984a3bd91120dbb38a55,198.564731,7009.344077,35.3000456913972
03fcf1f4f3d88ec4de934162b01e24cc,155.209655,5478.907913,35.3000456898123
0403d8c0bd566a313c61a23415b370bb,0.266926,9.422499,35.3000419591947
0407d4d486fdc4e796504135e545be77,1.988426,70.191528,35.3000453625129
0418a374dbbf62d13b4002083ed48f91,6770.869998,239012.020322,35.3000456946596
042ad4890998c4582f647f8173e05e95,0.91,32.123041,35.3000450549451
042b412ef4f7422dcc4efb1bb53fa96d,295.974689,10447.920046,35.30004569411
042b4bdf2f5b10de5320e12682207f27,830.776965,29326.464826,35.3000456939728
04306268dc6163635ca128f50b0a31ce,1,35.300045,35.300045
04320152ebbd7eed4b9e003394b1ef8c,4874.511391,172070.474841,35.3000456945696
043273490b845fdf5be1568fbb032fb7,0.695457,24.549663,35.3000444312157
043ad3ab1868e162fa5ef59deadf6139,524.97493,18531.639017,35.3000456936106
043d3751ec9090af793629af9adbc4b2,178.688429,6307.709708,35.3000456901437
043eb1aa957d6de332cc5c0da247933e,9.276919,327.475664,35.3000456293733
044343f057835a641ec973045cdb06e2,1307.013637,46137.641109,35.3000456941675
0448ff85a689dbbd01a831fde585f6ab,10232.982587,361224.752914,35.3000456946834
044937955c8a1fe183adf463b22c0605,32.289927,1139.835898,35.3000456767834
044c9e05f5e8a7df3f7d8e0ccb16d9b7,2302.184225,81267.20834,35.300045694649
044e5acc10a1d6ba383e9667d6b8b886,6540.299149,230872.858816,35.3000456945918
044fb3e621992425c6d9a35e8a27a1d6,507.418109,17911.882434,35.300045694664
0451f60947481678ed6984b7e7260812,3967.422318,140050.189115,35.3000456945557
04541d7de076b39e1ddbcb8a58d8fb99,71.265233,2515.665981,35.3000456898808
045470c74169a59b33f213fe94b7c4de,0.748648,26.427308,35.3000448809053
0454b60cfa5fa67870e51d01b8583173,1,35.300045,35.300045
04568791d6e0245ba1c8d8f6e2be09b5,2.501235,88.293709,35.3000453775835
046238ced75648a1aef67165961869d9,0.357417,12.616836,35.3000444858527
0469da5a51c1662877161dd68fe6b8db,148.040046,5225.820388,35.3000456916908
046d186fc49da156d281b8daf8860b11,936.014267,33041.346396,35.3000456947095
047489ac5b7d4bc1843127f3353b993a,1.525451,53.84849,35.3000456914054
047abf0aea1fca5963c978529b5c6b4e,0.98959,34.932572,35.3000454733779
047e1ef55c3a905dc0fb23ab9b3b4fb5,5000.996039,176535.388695,35.3000456945573
047f813410a1c4ceb5dd90cad7c0aa95,14135.985688,499000.940726,35.3000456946982
04896fb4b9749632ccde3081b5585f88,1566.471406,55296.512211,35.3000456945462
048a72df2eb9640f733ffa22eaa49d36,3.57233,126.103412,35.3000456284834
048ccb33bf48a0f333023e0e8ecce568,11362769.546743,54967998.824096,4.8375529045075
048cddf5707b8107e3304713d6eb9673,1168.676606,41254.337594,35.3000456945914
048e9c059acb335d21e866fb715f7e3b,125.553732,4432.052476,35.3000456888052
04917e9fe544ee074bcbc51fe309e9bb,88.398882,3120.484573,35.3000456838357
0492604170e6acf14a7fb23c45a0bc38,22.65892,799.860911,35.3000456773756
0492cca742110d01fe58b8cb440e3e8b,0.773495,27.304408,35.3000446027447
0498918c21573464fee6cfff79a066c6,1,35.300045,35.300045
04993a48bfc4fe30ce755b9c72a02d45,1071.336961,37818.243677,35.300045694027
049c4b258281f09e34dc71479c4d3291,1370.340751,48373.091127,35.3000456942552
049f964a3a7bc38fc9e9f71233a4dbeb,0.350665,12.37849,35.300044201731
04a84bc66998def95b2a8f0ed3a96688,5693.517398,200981.424313,35.3000456947054
04a8c624fcc1eac0205c91efa5b3b74d,1,35.300045,35.300045
04ab490f14d8d9c8ac8831b90b4120ab,144.1106,5087.110765,35.3000456940711
04abd858975d1ca1c4872a93b28d6525,2459.753857,86829.423549,35.3000456943688
04ac6840dd9aa76119e805a54e66b246,9.30557,328.487046,35.3000456715709
04acabff2a9790a8d5c27a2b8f6a8995,76.072068,2685.347476,35.3000456882545
04ad9bdf39af520715f7dfdd5aed543e,1447.557448,51098.84406,35.3000456946286
04b028de59ffdee0731169cabc283fab,1139.574421,40227.029133,35.3000456939881
04b5cfe81f72bb7e19d47fd0c244a314,691.91747,24424.718307,35.3000456933108
04b7716d23ee196dc611ed655e457d80,218.927676,7728.156966,35.3000456918019
04b8f1f2b816dc409b21a6372e49519e,1.065626,37.616646,35.3000452316291
04b9058ee7a691d8177f5547820127ff,16912.386826,597008.027764,35.3000456946857
04b924e25d56130553fadc9c2c169b88,1,35.300045,35.300045
04cca1006ac36280dece5e3c1533bb7e,723.846735,25551.822821,35.3000456940653
04ccf90a5be6fc288cdd26356c7fd452,3865.69265,136459.127186,35.3000456945277
04d1f452c508d51ff44bfc9cf1c85e00,949.813362,33528.45508,35.3000456946614
04d3dd09c797f5962bbd0afbc19e22b9,521291.655392,2147079.929121,4.11876903632084
04d97f7c236ea7f1ab46578e814f63b9,87.894386,3102.675842,35.3000456934758
04e0f7f3a16aa8dda8924907dc2e305e,333.600716,11776.120518,35.3000456929475
04e4127a1ea60925c2e18944de21338e,0.246941,8.717028,35.3000433301882
04e65951a45c8ad54a927372da38a241,13.963905,492.926484,35.3000456534186
04e67d78bf7603de9a99a2941e5b49d6,1,35.300045,35.300045
04e8ba9409a0680d38ffb702197ca1e2,299.177698,10560.98641,35.300045693914
04ecb80da9da0cd41aa6c8bd2a33b585,722.373822,25499.828925,35.3000456943469
04eeb5f74eb5e024fe15baa4e5fd1eed,314.990866,11119.191963,35.3000456940234
04f0de8d2f9425f6e8c06648009d0505,48.263588,1703.706861,35.3000456783279
04f2a3a1cd34ce20813c32464d79c9df,0.548134,19.349155,35.300045244411
04f66ae39f6d738b23403a9359ecb48b,874.817191,30881.086816,35.3000456937751
04fd984b5a8056c22182aaa382f9542e,1305.706252,46091.490359,35.3000456943512
04fde2d268c36f2fe9cabad5785f2402,0.731106,25.808075,35.3000454106518
